CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:13 PM,ETH,cex,52445.187,koinex  ,58300.0,11.164,-10.043
27/Dec/2017: 07:13 PM,ETH,Bittrex ,49816.668,koinex  ,58300.0,17.029,-14.551
27/Dec/2017: 07:13 PM,ETH,exmo    ,49886.391,koinex  ,58300.0,16.866,-14.432
27/Dec/2017: 07:13 PM,ETH,bitfinex,47965.211,koinex  ,58300.0,21.546,-17.727
27/Dec/2017: 07:13 PM,ETH,Kraken  ,48216.244,koinex  ,58300.0,20.914,-17.296

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:13 PM,LTC,Bittrex ,18209.644,koinex  ,21220.0,16.532,-14.186
27/Dec/2017: 07:13 PM,LTC,exmo    ,18187.076,koinex  ,21220.0,16.676,-14.293
27/Dec/2017: 07:13 PM,LTC,bitfinex,17515.307,koinex  ,21220.0,21.151,-17.458
27/Dec/2017: 07:13 PM,LTC,Kraken  ,17706.143,koinex  ,21220.0,19.845,-16.559

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:14 PM,BTC,cex,1097373.585,koinex  ,1228000.0,11.904,-10.637
27/Dec/2017: 07:14 PM,BTC,Bittrex ,1044221.215,koinex  ,1228000.0,17.6,-14.966
27/Dec/2017: 07:14 PM,BTC,exmo    ,1043835.7,koinex  ,1228000.0,17.643,-14.997
27/Dec/2017: 07:14 PM,BTC,bitfinex,1005348.261,koinex  ,1228000.0,22.147,-18.131
27/Dec/2017: 07:14 PM,BTC,Kraken  ,1016715.184,koinex  ,1228000.0,20.781,-17.206

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:14 PM,ZEC,Bittrex ,35729.743,cex,37462.777,4.85,-4.626
27/Dec/2017: 07:14 PM,ZEC,exmo    ,35639.176,cex,37462.777,5.117,-4.868
27/Dec/2017: 07:14 PM,ZEC,bitfinex,34289.042,cex,37462.777,9.256,-8.472
27/Dec/2017: 07:14 PM,ZEC,Kraken  ,34743.719,cex,37462.777,7.826,-7.258

